time;value
2023-07-10T17:44:42.107Z;32.744044
2023-07-10T17:44:43.092Z;31.585779
2023-07-10T17:44:44.111Z;25.554879
2023-07-10T17:44:45.089Z;24.61219
2023-07-10T17:44:46.102Z;24.499226
2023-07-10T17:44:47.107Z;24.389295
2023-07-10T17:44:48.103Z;24.549344
2023-07-10T17:44:49.115Z;24.471793
2023-07-10T17:44:50.104Z;24.442249
2023-07-10T17:44:51.105Z;24.582515
2023-07-10T17:44:52.096Z;24.91699
2023-07-10T17:44:53.104Z;29.11817
2023-07-10T17:44:54.114Z;31.259416
2023-07-10T17:44:55.120Z;30.33018
2023-07-10T17:44:56.120Z;28.584211
2023-07-10T17:44:57.115Z;31.935356
2023-07-10T17:44:58.103Z;28.823856
2023-07-10T17:44:59.108Z;45.476706
2023-07-10T17:45:00.132Z;47.668532
2023-07-10T17:45:01.109Z;47.704934
2023-07-10T17:45:02.122Z;47.587221
2023-07-10T17:45:03.121Z;47.593948
2023-07-10T17:45:04.133Z;47.646704
2023-07-10T17:45:05.116Z;47.496085
2023-07-10T17:45:06.125Z;47.634306
2023-07-10T17:45:07.114Z;47.4703
2023-07-10T17:45:08.128Z;47.527145
2023-07-10T17:45:09.120Z;47.505911
2023-07-10T17:45:10.130Z;47.567372
2023-07-10T17:45:11.134Z;47.564074
2023-07-10T17:45:12.122Z;47.572384
2023-07-10T17:45:13.116Z;47.47241
2023-07-10T17:45:14.119Z;47.57423
2023-07-10T17:45:15.121Z;47.460276
2023-07-10T17:45:16.120Z;47.568163
2023-07-10T17:45:17.155Z;47.610632
2023-07-10T17:45:18.126Z;47.541323
2023-07-10T17:45:19.128Z;47.465156
2023-07-10T17:45:20.154Z;47.542906
2023-07-10T17:45:21.150Z;47.26521
2023-07-10T17:45:22.127Z;47.342762
2023-07-10T17:45:23.148Z;47.378043
2023-07-10T17:45:24.133Z;47.493249
2023-07-10T17:45:25.130Z;47.600608
2023-07-10T17:45:26.150Z;47.336695
2023-07-10T17:45:27.137Z;47.488237
2023-07-10T17:45:28.149Z;47.543368
2023-07-10T17:45:29.138Z;47.616435
2023-07-10T17:45:30.148Z;47.589397
2023-07-10T17:45:31.143Z;47.501031
2023-07-10T17:45:32.154Z;47.288753
2023-07-10T17:45:33.146Z;47.602587
2023-07-10T17:45:34.155Z;47.339399
2023-07-10T17:45:35.161Z;47.553325
2023-07-10T17:45:36.150Z;47.616171
